example_id                                                             | status | run_time        |
./spec/controllers/desktop/dashboard_controller_spec.rb[1:1:3:2]       | passed | 0.02387 seconds |
./spec/controllers/desktop/dashboard_controller_spec.rb[1:1:3:3]       | passed | 0.02306 seconds |
./spec/controllers/desktop/dashboard_controller_spec.rb[1:1:4:1]       | passed | 0.02641 seconds |
./spec/controllers/desktop/dashboard_controller_spec.rb[1:1:5:1]       | passed | 0.04188 seconds |
./spec/controllers/desktop/desktop_controller_spec.rb[1:1:1]           | passed | 0.00086 seconds |
./spec/controllers/desktop/desktop_controller_spec.rb[1:2:1:1]         | passed | 0.00093 seconds |
./spec/controllers/desktop/desktop_controller_spec.rb[1:2:2:1]         | passed | 0.00336 seconds |
./spec/controllers/desktop/desktop_controller_spec.rb[1:2:3:1]         | passed | 0.00518 seconds |
./spec/controllers/desktop/desktop_controller_spec.rb[1:3:1:1]         | passed | 0.00089 seconds |
./spec/controllers/desktop/desktop_controller_spec.rb[1:3:2:1]         | passed | 0.00319 seconds |
./spec/controllers/desktop/desktop_controller_spec.rb[1:4:1:1]         | passed | 0.00083 seconds |
./spec/controllers/desktop/desktop_controller_spec.rb[1:4:2:1]         | passed | 0.00159 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:1:1]              | passed | 0.00981 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:1:2]              | passed | 0.00779 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:1:3]              | passed | 0.00917 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:1:4]              | passed | 0.01294 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:2:1]              | passed | 0.01382 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:2:2]              | passed | 0.01517 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:3:1]              | passed | 0.00868 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:3:2]              | passed | 0.00876 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:3:3]              | passed | 0.00824 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:4:1:1]            | passed | 0.01084 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:4:1:2]            | passed | 0.01043 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:4:2:1]            | passed | 0.00889 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:4:2:2]            | passed | 0.00912 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:5:1]              | passed | 0.00652 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:5:2]              | passed | 0.00719 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:5:3]              | passed | 0.00705 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:6:1:1]            | passed | 0.00827 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:6:1:2]            | passed | 0.00782 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:6:1:3]            | passed | 0.00836 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:6:1:4:1]          | passed | 0.01155 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:6:2:1]            | passed | 0.00852 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:6:2:2]            | passed | 0.0074 seconds  |
./spec/controllers/desktop/pets_controller_spec.rb[1:6:3]              | passed | 0.0097 seconds  |
./spec/controllers/desktop/pets_controller_spec.rb[1:7:1:1]            | passed | 0.00927 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:7:1:2]            | passed | 0.00905 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:7:1:3:1]          | passed | 0.00938 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:7:1:4:1]          | passed | 0.00888 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:7:2:1]            | passed | 0.00772 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:7:2:2]            | passed | 0.00789 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:8:1]              | passed | 0.01107 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:8:2]              | passed | 0.00999 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:9:1:1:1]          | passed | 0.01137 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:9:1:2:1]          | passed | 0.00915 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:9:1:3]            | passed | 0.00941 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:9:2:1:1]          | passed | 0.00768 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:9:2:2:1]          | passed | 0.01596 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:9:2:3]            | passed | 0.00646 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:9:3:1:1]          | passed | 0.01256 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:9:3:2:1]          | passed | 0.00894 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:9:3:3]            | passed | 0.00442 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:9:4:1:1]          | passed | 0.01215 seconds |
./spec/controllers/desktop/pets_controller_spec.rb[1:9:4:2:1]          | passed | 0.01374 seconds |
